year,mean_ASAP:RAIN,mean_ASAP:SM_combined,mean_ASAP:TEMP,mean_ASAP:rad,mean_ASIS:ASIS_NDVI,mean_ASIS:BT4,std_ASAP:FPAR,std_ASAP:SM_combined,std_ASAP:TEMP,std_ASAP:rad,std_ASIS:ASIS_NDVI,std_ASIS:BT4,koppen_class,yield
2022,60.7712270938881,0.28939463952942684,23.962327517403498,172121.75282922928,182.07213027117194,145.26168195661424,12.33465511640425,0.04133064773314237,1.8487611319399795,11902.42300620131,28.020594224542073,4.791874392057891,11,4989.4
1984,47.06909072007497,0.2670080778296008,25.31585037443373,208868.10633702608,171.0150314316353,147.9168499374319,8.625041135054131,0.04291150526502923,1.5681901294866356,6523.96448031877,28.560290464629986,4.667386521286935,3,2166.2
1985,46.339133362324176,0.2615178708807373,25.573498407999676,210170.94134070133,174.33542783955394,153.0475819495907,8.625041135054131,0.044905449763567064,1.527692838041598,7128.824629160496,33.039604507025665,4.861205312746211,3,1954.4
1986,41.42416248938753,0.2720310045653854,25.66315067079332,214922.26289685705,181.56439363328198,154.31832302065362,8.625041135054131,0.04240247819168577,1.6076771316124585,5304.612902744951,22.79488081944549,4.778144015668034,3,1696.0
1987,44.497220240118104,0.2637575292665168,26.374336814880373,218338.97320689476,169.1656968251114,153.30564250663264,8.625041135054131,0.042513574172851225,1.604367100059908,5395.911334143944,27.760764344666313,4.218818666243867,3,2073.8
1988,51.46983491918007,0.2555990931520238,25.73383666144477,207306.07125514335,157.1224485697741,150.7740263414203,8.625041135054131,0.03968589951381485,1.5317444191781289,6098.120324610617,32.143944816283565,4.919945576315306,3,2113.7
1989,50.70994893376693,0.2607581098366412,25.543681950039336,211169.1802770556,186.2415666978686,155.2208240693089,8.625041135054131,0.039692292174340275,1.560244507461831,6738.718634206535,33.353922486226224,5.330891313798239,3,2130.1
1990,51.33234408042677,0.2616103397200129,26.069871711730958,211763.05473135345,190.22226041676376,154.29250126836223,8.625041135054131,0.04133287782007776,1.586229514408516,6016.8742573111385,38.452976884229464,5.64112006806737,3,2138.3
1991,40.852469724101425,0.255329660310668,26.060076883104113,214120.95768033044,170.6089908712091,155.0177730377315,8.625041135054131,0.04061263290685148,1.6032028314416282,5738.198171160335,34.139507742548226,4.970879347846714,3,1644.8
1992,47.436104410198084,0.24659117000536612,26.021799002753365,212898.92228977944,149.02484664714177,150.1300710909674,8.625041135054131,0.03773965578278038,1.56325976979375,6143.677757228505,47.11963319584629,7.3903699615761145,3,2198.9
1993,51.256683436564686,0.2567191652062829,25.766467168596055,209455.04738125735,171.41404319820367,150.6243560670402,8.625041135054131,0.03688426941319351,1.5329906216062053,5998.5527543581675,29.901794268030816,4.643335078758485,3,2048.2
1994,41.18932101217768,0.24747157950501297,26.078845723470053,215914.9796758098,160.78392723121712,147.11041979628865,8.625041135054131,0.034726939589087416,1.543970929460294,5990.774268866523,26.149172733762306,5.181399040768846,3,1524.5
1995,51.658211191515825,0.25935327394878893,25.56346148384942,202134.70192113402,191.03501406765233,151.77563132478699,8.625041135054131,0.034005113617234184,1.5409470437452215,6284.869063459146,24.1402148797357,3.823635691281927,3,2197.2
1996,52.10746065755788,0.2669937743877201,25.378316169314914,207080.2876072375,195.01945578943563,150.2636654030339,8.625041135054131,0.03745979595602069,1.4996010658621732,7082.662161661211,27.348631778482034,4.0723898437801855,3,2257.2
1997,41.31358854610862,0.2518851068220855,26.25794684092204,211463.35276288842,194.71611567726166,152.68286950059962,8.625041135054131,0.0378850693625412,1.550291113641144,6321.932469838556,25.93896296183503,4.375393979312943,3,1658.2
1998,53.3977503507213,0.2593674074668296,26.194067997402616,209280.64340306728,190.28927567204704,151.74032689728577,8.625041135054131,0.037930658005767184,1.5200540138216272,6321.13100705245,25.17254486321306,4.1429928905098965,3,1906.2
1999,49.91712130721341,0.2565586301371661,25.193671713935004,207795.13445690717,183.59732771471386,147.4689575884046,8.625041135054131,0.03754777622106994,1.5580611194169531,6164.842378188319,31.066697422308522,4.424143818304716,3,2504.7
2000,40.56529256584723,0.2595026999514844,25.545640002356635,214793.42255592876,161.72398352308912,146.42497803905098,8.426071905681683,0.04231422312105131,1.5240786253742635,6010.697000015009,31.728917036209978,4.160885387497384,3,2247.5
2001,39.61308077972126,0.2588714360435528,25.810557715098064,215494.84861551787,191.26327761111963,153.8064039065501,8.963147076055588,0.04267091894234189,1.5591010609494074,5881.101278397147,25.886087207289197,4.266211024237495,3,1943.1
2002,44.642352046763655,0.2657479790417702,26.301400640275745,214012.12182281187,190.62153751086103,153.49745887309567,8.770227552089478,0.039996446508094134,1.5664596528226844,6394.290591181796,23.002322942367794,4.005912577783889,3,2604.1
2003,47.90884573529982,0.2681245192456987,26.097926743825276,211692.07672794498,187.50793274468768,152.64441013592915,8.984994294929425,0.04077060653772849,1.5091798303773332,6209.7129389351285,24.175290049664984,3.902548418518123,3,2747.1
2004,44.960855835697124,0.26786820609390344,26.090483114454482,214980.9300433117,190.99031110251275,155.41478415930044,8.70733992307202,0.03832710896946518,1.5460471955564665,6097.481784689539,24.96702230625762,4.144589401549281,3,2764.1
2005,55.96213818499946,0.2718077150008923,25.87744073867798,204179.0131080449,191.96920816678488,151.31014986594874,8.556428040406335,0.03468737885875574,1.5422611362843757,6178.498713032049,19.62640172848866,4.114322978811913,3,2943.4
2006,53.717617751744115,0.2698350041597451,25.976024860805936,209916.25812380016,193.92079059889022,152.397473457944,8.808776696348035,0.03424336582947244,1.5575342927204467,6351.040351699323,20.313067472856762,4.4367646949784,3,3079.4
2007,45.32678144126665,0.25424155616909727,25.893880738152397,209054.84469354004,193.0075416078504,154.83670443804655,8.765513745797948,0.03364041886961948,1.5038626088148366,6088.618025953158,18.6876893656708,11.815993512737723,3,2910.7
2008,54.423813144179185,0.24821889065888073,25.526794094509548,205117.66151286566,197.10541662531472,153.4501813908575,8.91665693981829,0.032421486449444405,1.5631571627276615,6765.395413390526,18.979386417652236,13.487601359012745,3,3389.5
2009,44.063967539276284,0.24421767578289497,26.290967157151965,214343.11106541628,200.3492458795941,155.70033983767837,8.51983090985656,0.032914903601858725,1.554126113819399,6199.151669141224,16.971994140788006,13.19276258146396,3,3004.1
2010,61.914236012907956,0.25217581033001335,25.86612205505371,202287.82694907117,200.8799198966066,154.3288846811006,8.684364445060083,0.033393590889307954,1.5082401097001,6331.277321416005,18.194658221409394,13.385432003800787,3,3025.3
2011,56.64406621688661,0.25122892173582057,25.875873035854763,205066.6282357697,198.16790836264119,153.6931951289357,8.900187409963308,0.03316938419613091,1.4880036033162136,6811.767412635826,18.242284192651724,13.47385171245227,3,2818.1
2012,50.63525580413098,0.24642712803196612,26.104602930280898,214633.9366140983,203.74512398449212,155.7395105113984,8.62756132005593,0.03893597794116456,1.5283611911083284,5875.026584579803,15.988972390146897,13.161692727680798,3,3258.0
2013,50.86587340207674,0.24101284758739897,26.24703483581543,210640.71945479827,196.18457878066462,154.62327455492007,8.421597760086048,0.04120637328314638,1.5232403537440147,6359.568165872172,17.623096248297447,13.442472809986786,3,2946.1
2014,45.06679042460584,0.24866136453148668,26.422599739498562,212779.045823572,203.18354601791154,155.2880760896279,8.438618264324374,0.03673113315972,1.5743965067650447,6139.176527545825,16.002227029909573,13.239134658433906,3,2606.4
2015,40.31863099047819,0.23764787586734795,26.957173294491238,213776.54765673,193.7692814823735,155.9168704563092,8.97800042526087,0.03633367985727708,1.6108748110797555,6183.504984347688,19.126723636259573,13.483585236443416,3,2511.0
2016,38.359566429482975,0.22923937792842244,26.688475545247396,211921.49080643133,198.60876172172576,155.40181453755758,8.625041135054131,0.03871029945837132,1.5093675544884244,5967.553371351672,17.58765579791532,13.465025771371971,3,3042.5
2017,42.810761576581044,0.235203661736821,26.388895405663384,206303.32279353484,199.9259146591562,155.1585322095678,8.502978804541156,0.03716269308997252,1.475871275841922,6221.733780873766,17.242789707332303,13.323972881819929,3,3186.7
2018,41.587164395717906,0.23299672532248528,26.49226599799262,213132.4301488378,201.41435091958917,154.09794132524897,8.37687916675245,0.039903482648226206,1.5430989675060836,6232.249341012058,18.9766449440219,13.59917704511827,3,2531.2
2019,40.693177156297985,0.2395675385492305,26.768485440148247,213889.37306478043,199.08747985967966,155.05332599672766,8.342284310445239,0.03598158287058195,1.5181129900530101,6122.454038854076,18.286106499062992,13.48083308920665,3,2971.5
2020,62.077081817727986,0.25824116242686984,26.437494394514296,206184.2630551864,199.71613917501293,153.8868931834692,8.326522955029315,0.03489219869293517,1.4877487590743617,6055.33311390707,18.152264433393864,13.509347854403293,3,2949.4
2021,43.97384066970763,0.2514723914023022,26.566262573666044,212023.88919721963,202.87684562237823,154.14902176872798,8.289614806184504,0.035137296509653235,1.4541425878967078,6309.07312464649,17.43577634614065,13.426469343013736,3,3177.1
2022,47.78677920148935,0.25824095679325965,26.23790850109524,202962.8154580744,199.29499280744204,153.2043715591342,8.212025443762162,0.03431117745263525,1.4315460387377381,6419.167669831601,17.579889179879437,13.68656414961177,3,2896.6
1984,29.102607160425546,0.2030318083544956,27.13062572479248,188966.8572657949,126.43683172241029,149.63530557656193,9.417148404667488,0.04437031528406916,0.9347711424955558,9193.550869543162,24.142144488788087,4.954059144925285,3,961.3
1985,32.24651205026068,0.19506183058054982,26.91297754711575,185083.7984865675,119.3819965835023,151.60787305037914,9.417148404667488,0.051118678724875986,0.9213718333582993,9111.756020988378,27.820708575680868,6.511921074712542,3,1008.6
1986,30.21208701474423,0.21174378690719742,26.872304926978217,185610.1455266361,130.72857122561376,154.76215857803635,9.417148404667488,0.04152626485228392,0.9089073912423687,8979.575062828768,27.5297068100646,6.602321344796669,3,1184.5
1987,31.56327296784805,0.2108223851216725,27.6066242535909,187182.88868232808,131.1585812679236,156.00863363868876,9.417148404667488,0.04030425344864836,0.9363525769211262,9591.702871187077,27.452448102331637,6.1379080610537775,3,1090.7
1988,29.941791715010282,0.21352904773498022,27.158546034495036,182389.60580552917,127.31267095995817,151.75238253738553,9.417148404667488,0.039387683121670174,0.9138866026106206,9261.196121704425,26.888553035526286,5.658954545345854,3,1390.7
1989,36.596581436941186,0.22293613091946815,26.77641287909614,186855.61246253905,139.03577231225353,158.61638368640206,9.417148404667488,0.0390089190885641,0.8168506262663514,9149.790421902988,25.95994136699795,6.922560532382712,3,1261.0
1990,27.265384434997,0.2168824989361675,27.113542747497558,186808.74583285488,138.28836264902367,157.1579117987905,9.417148404667488,0.04098797518396631,0.8589461994235283,9902.02500112376,28.12679789543553,6.995878566000039,3,1188.9
1991,35.77640546136229,0.22774894569237997,26.77849932776557,182579.54224765376,131.14767083281203,152.28762807701497,9.417148404667488,0.03996595107787185,0.7947517478186016,8951.567965211756,24.079065459782672,6.0625085256782025,3,1526.0
